index,index_in_dataset,t_fgsm,t_dlfuzz,kl_fgsm,kl_dlfuzz,ws_fgsm,ws_dlfuzz,js_fgsm,js_dlfuzz,mse_fgsm,mse_dlfuzz
42,9865,0.006330013275146484,0.75553297996521,0.3929532092416466,,0.0008041716580770386,,0.07477901221948967,,0.014609681065759118,
45,1157,0.006741046905517578,0.7570798397064209,0.5909262980675989,0.883342596524251,0.0011066938006059047,0.0014659266502625135,0.14393550081331316,0.27193392131166133,0.015159282412641322,0.031432170369592664
45,1157,0.006741046905517578,0.7570798397064209,0.5909262980675989,0.883342596524251,0.0011066938006059047,0.0014659266502625135,0.14393550081331316,0.27193392131166133,0.015159282412641322,0.031432170369592664
47,9714,0.006230831146240234,0.7636227607727051,0.358985337457435,,0.0007565088998055787,,0.07523395310182165,,0.014471347777279769,
48,2559,0.006392240524291992,0.7491278648376465,0.47813571009586475,0.8853431775030607,0.0009380900379184476,0.0014647317152312854,0.10449504006584653,0.2720155793531235,0.013258821831743591,0.036597218929744844
48,2559,0.006392240524291992,0.7491278648376465,0.47813571009586475,0.8853431775030607,0.0009380900379184476,0.0014647317152312854,0.10449504006584653,0.2720155793531235,0.013258821831743591,0.036597218929744844
49,835,0.005606174468994141,0.7439274787902832,0.9480999907208159,1.644652978570548,0.0015440330602405179,0.002031174082122662,0.2930264671363741,0.6652041583005304,0.016989796424702726,0.050910172988279406
49,835,0.005606174468994141,0.7439274787902832,0.9480999907208159,1.644652978570548,0.0015440330602405179,0.002031174082122662,0.2930264671363741,0.6652041583005304,0.016989796424702726,0.050910172988279406
50,5186,0.0059816837310791016,0.7463042736053467,,1.4068961607984232,,0.0019019185841084633,,0.5401679728266634,,0.04760438895447421
51,6807,0.006117343902587891,0.7285926342010498,0.48491786545780435,0.8513001056075544,0.0009568885972582999,0.0014342410030343496,0.0999878100097662,0.24957557823902393,0.013989032234686078,0.032117171132823086
51,6807,0.006117343902587891,0.7285926342010498,0.48491786545780435,0.8513001056075544,0.0009568885972582999,0.0014342410030343496,0.0999878100097662,0.24957557823902393,0.013989032234686078,0.032117171132823086
52,4819,0.005672454833984375,1.4978375434875488,,0.9067470998440498,,0.0014972631336646293,,0.28566066760065945,,0.03818263207230857
53,7341,0.005444765090942383,0.7496156692504883,,0.8549224405564895,,0.0014405746477015315,,0.25896063921385987,,0.043044018917975796
55,3867,0.005246400833129883,0.7506308555603027,,0.7083834293847812,,0.0012751319525138105,,0.19635639277534989,,0.0323034528089079
56,3974,0.007212162017822266,0.7593095302581787,1.1894419507776228,,0.00175749919311281,,0.416094629963868,,0.01867346994426786,
58,3384,0.005524635314941406,0.7644598484039307,0.5896725499130933,0.6134528113339476,0.0011130063864776157,0.0011623464813939287,0.1425046020730771,0.1499612519167839,0.014500943862893705,0.009414481441744713
58,3384,0.005524635314941406,0.7644598484039307,0.5896725499130933,0.6134528113339476,0.0011130063864776157,0.0011623464813939287,0.1425046020730771,0.1499612519167839,0.014500943862893705,0.009414481441744713
59,5555,0.005866527557373047,0.7434425354003906,,0.5952087077507646,,0.001126535447424998,,0.13782397911851352,,0.032931452222667947
60,9721,0.005409717559814453,0.7654790878295898,0.5416090828350746,,0.0010433311290762458,,0.12278477273616525,,0.014176703713165234,
62,1956,0.005398750305175781,0.759577751159668,0.42696730640085834,0.5095643010598921,0.0008643269886664464,0.0010133537549425575,0.08948725181809705,0.1129430177035897,0.013814660193959244,0.011648918215399862
62,1956,0.005398750305175781,0.759577751159668,0.42696730640085834,0.5095643010598921,0.0008643269886664464,0.0010133537549425575,0.08948725181809705,0.1129430177035897,0.013814660193959244,0.011648918215399862
63,254,0.005721569061279297,0.7639565467834473,,1.142048694401296,,0.0017024273520360562,,0.3949581589789378,,0.03918119957139067
64,9712,0.005848407745361328,0.777184009552002,0.4035940584843927,0.797476761039984,0.0008311561476799197,0.00138563718169299,0.08032122724830001,0.23761608236147597,0.013860689843155702,0.040860188838890706
64,9712,0.005848407745361328,0.777184009552002,0.4035940584843927,0.797476761039984,0.0008311561476799197,0.00138563718169299,0.08032122724830001,0.23761608236147597,0.013860689843155702,0.040860188838890706
65,1706,0.005876302719116211,0.7378361225128174,0.5503647285332015,,0.001062943550274172,,0.12975276551843512,,0.01461234873088432,
66,6952,0.005808830261230469,0.7322862148284912,,0.9019977456001893,,0.0014889502186077271,,0.2840149298649346,,0.04071546496233052
71,1991,0.00612187385559082,0.7548675537109375,,1.0726152712783605,,0.001644350954631529,,0.36891160815648977,,0.07407500186209647
73,3172,0.005265712738037109,0.7621407508850098,0.4368758769225429,0.7570727793757128,0.0008834057088382358,0.0013417941612269726,0.09123323125245708,0.2212732597981693,0.014023651443208841,0.03193123880190333
73,3172,0.005265712738037109,0.7621407508850098,0.4368758769225429,0.7570727793757128,0.0008834057088382358,0.0013417941612269726,0.09123323125245708,0.2212732597981693,0.014023651443208841,0.03193123880190333
75,6470,0.005486011505126953,0.7727906703948975,0.30565938461718367,,0.0006575931320000577,,0.05088253278184246,,0.01386459138771988,
78,2402,0.00515437126159668,0.7458055019378662,0.5603385639633001,0.8909088599214441,0.0010635869477224225,0.0014759378837776158,0.129797343566848,0.2724076938618947,0.013898580824042443,0.03059619602189284
78,2402,0.00515437126159668,0.7458055019378662,0.5603385639633001,0.8909088599214441,0.0010635869477224225,0.0014759378837776158,0.129797343566848,0.2724076938618947,0.013898580824042443,0.03059619602189284
80,9952,0.005447864532470703,0.7380800247192383,,0.6312629903825586,,0.0011758580691243537,,0.1643318614220739,,0.041256622873891036
84,6623,0.0067217350006103516,0.755699634552002,0.9818606118254576,1.4167140238129856,0.0015643004914690528,0.001898100668152171,0.3156048450011531,0.5413383245809831,0.013626845918641056,0.028894984166408438
84,6623,0.0067217350006103516,0.755699634552002,0.9818606118254576,1.4167140238129856,0.0015643004914690528,0.001898100668152171,0.3156048450011531,0.5413383245809831,0.013626845918641056,0.028894984166408438
