index,index_in_dataset,t_lava_vae_forward_gradient,t_lava_vae_bp_gradient,t_lava_vae_vanilla,t_lava_cae_forward_gradient,t_lava_cae_bp_gradient,t_lava_cae_vanilla,t_lava_cvae_forward_gradient,t_lava_cvae_bp_gradient,t_lava_cvae_vanilla,kl_lava_vae_forward_gradient,kl_lava_vae_bp_gradient,kl_lava_vae_vanilla,kl_lava_cae_forward_gradient,kl_lava_cae_bp_gradient,kl_lava_cae_vanilla,kl_lava_cvae_forward_gradient,kl_lava_cvae_bp_gradient,kl_lava_cvae_vanilla,ws_lava_vae_forward_gradient,ws_lava_vae_bp_gradient,ws_lava_vae_vanilla,ws_lava_cae_forward_gradient,ws_lava_cae_bp_gradient,ws_lava_cae_vanilla,ws_lava_cvae_forward_gradient,ws_lava_cvae_bp_gradient,ws_lava_cvae_vanilla,js_lava_vae_forward_gradient,js_lava_vae_bp_gradient,js_lava_vae_vanilla,js_lava_cae_forward_gradient,js_lava_cae_bp_gradient,js_lava_cae_vanilla,js_lava_cvae_forward_gradient,js_lava_cvae_bp_gradient,js_lava_cvae_vanilla,mse_lava_vae_forward_gradient,mse_lava_vae_bp_gradient,mse_lava_vae_vanilla,mse_lava_cae_forward_gradient,mse_lava_cae_bp_gradient,mse_lava_cae_vanilla,mse_lava_cvae_forward_gradient,mse_lava_cvae_bp_gradient,mse_lava_cvae_vanilla
74,3416,1.5100643634796143,0.6444540023803711,0.6445016860961914,1.9686858654022217,0.640247106552124,0.6194272041320801,0.4256620407104492,0.5543322563171387,0.7451717853546143,,,,,,,0.0,2.713074863266895,,,,,,,,0.002325204359705988,0.0004033513521613937,,,,,,,,0.0,1.446745868893569,,,,,,,,0.11386658585002626,0.11758425259877359,
75,6470,1.3570988178253174,0.4283773899078369,0.4416520595550537,1.867067575454712,0.6249773502349854,0.6788253784179688,0.5570127964019775,0.28745031356811523,0.7780416011810303,1.8820620612773118,0.27600254926617657,0.24340207303494663,,,,-0.007247502115873372,0.9815295904884725,,0.00028763252677075924,0.0001527766619444081,0.00017362223449121522,,,,0.002386388245820689,7.116160887080182e-05,,0.9796755649754271,0.1482432456958518,0.1314154794008148,,,,0.19709633341961152,0.5867428683281772,,0.11049401850406004,0.03180333793768104,0.02836987714156871,,,,0.18839098384451822,0.06713185880510755,
77,7042,1.6056127548217773,0.6420116424560547,0.6723599433898926,2.2290003299713135,0.6938600540161133,0.7542223930358887,0.47782254219055176,0.3169407844543457,0.6788403987884521,,,,,,,-0.030955470181743886,1.2593038964216423,,,,,,,,0.002328457001414692,0.00044310169777904824,,,,,,,,0.28402272338938167,0.628761653473083,,,,,,,,0.13384185046567648,0.09455306778630082,
78,2402,1.3979837894439697,0.6852483749389648,0.6491420269012451,2.4396464824676514,0.6254701614379883,0.6915357112884521,0.5692574977874756,0.5979156494140625,0.8430445194244385,,,,,,,0.0,1.1869336813827944,,,,,,,,0.0022431512371516695,0.0004064981040141845,,,,,,,,0.0,0.6440445980510416,,,,,,,,0.10101176452352904,0.06179562827364665,
79,9931,1.5321481227874756,0.6657907962799072,0.7165882587432861,2.0489068031311035,0.6756455898284912,0.6740081310272217,0.47617173194885254,0.50309157371521,0.7035257816314697,,,,,,,0.0,0.7542336445414038,,,,,,,,0.0020638157782178553,0.0007939226546327419,,,,,,,,0.0,0.3991276179613312,,,,,,,,0.06895126678122229,0.04435206937947517,
80,9952,2.0757105350494385,0.6485586166381836,0.6505289077758789,2.037867546081543,0.7265167236328125,0.6874649524688721,1.1806044578552246,0.435866117477417,0.6993622779846191,,,,,,,-0.03540496851280797,2.2423114074593644,,,,,,,,0.002384903201639557,0.00023014386181120544,,,,,,,,0.2562074278895271,1.2564912623167452,,,,,,,,0.17657980839394583,0.10013647878281354,
81,9986,1.3249626159667969,0.701789379119873,0.8853874206542969,2.1299517154693604,0.6762981414794922,1.2009329795837402,0.47231268882751465,0.23770833015441895,0.7208402156829834,1.436721491576511,0.41070805412190314,0.2511062256079013,,,,0.0,0.6559541934263039,,0.00022316771633519274,0.0002387658045380959,0.00017104164311407965,,,,0.0022710390863923723,8.06913376096991e-05,,0.8051217798053965,0.22584052880466915,0.1438961629686774,,,,0.0,0.4002116633140201,,0.09717609203174425,0.034705979945516975,0.01849626791541938,,,,0.16033395711225668,0.04457140128169087,
82,6862,1.6040644645690918,0.6782529354095459,0.6540141105651855,2.2336230278015137,0.7367568016052246,0.7599291801452637,0.532332181930542,0.6511185169219971,0.7863845825195312,,,,,,,0.0,1.5020884159732537,,,,,,,,0.0021380168437081246,0.0003089430271402251,,,,,,,,0.0,0.743533729746446,,,,,,,,0.11256783105399024,0.06726342180127218,
83,8879,1.633321762084961,0.5790817737579346,0.6365659236907959,2.319514513015747,0.6216793060302734,0.7392158508300781,0.42272496223449707,0.34404659271240234,0.7078197002410889,,,,,,,0.0,2.1869994029733952,,,,,,,,0.002293669988185297,0.0008446907527629523,,,,,,,,0.0,1.0727787088557799,,,,,,,,0.11972381109306467,0.1217475227287371,
84,6623,1.5599465370178223,1.132307767868042,0.9595036506652832,2.165663480758667,0.6917190551757812,0.687382698059082,0.48922014236450195,0.9616107940673828,0.787787675857544,17.193325055019592,0.5800621088304874,0.4175912851243204,,,,0.0,10.641796793666758,,0.0013213241142123783,0.00031677670620272873,0.0002619187618058353,,,,0.0018707303140888332,0.0007594601156048214,,8.610781117465386,0.42195314537469186,0.31275906585725505,,,,0.0,5.3942752065982775,,0.17291335156809742,0.012908012865872748,0.010088182764270065,,,,0.047415986002244025,0.09881631959369724,
85,5364,1.806396484375,0.6288866996765137,0.5978827476501465,2.037855625152588,0.6502299308776855,0.8399674892425537,0.4757838249206543,1.0413432121276855,0.6505000591278076,,,,,,,0.0,15.732717482575225,,,,,,,,0.002382559587869063,0.0008470005614963065,,,,,,,,0.0,8.087081250512776,,,,,,,,0.16170281838225486,0.1705840812301579,
87,6725,0.4430220127105713,0.41472339630126953,0.24759268760681152,1.164921760559082,0.4424459934234619,0.37383008003234863,1.9871320724487305,0.6590683460235596,0.6463150978088379,2.466013162322466,0.37363531237411407,0.3639339635719346,5.369668600927464,0.82463505825046,0.8503502281335975,,,,0.0005003926304622551,0.0002999222947597683,0.000320138318236629,0.00024974340628832663,0.0002698148511691687,0.0002874410039574477,,,,1.3111082479274663,0.21324750129920322,0.19973756541950416,2.819585657953484,0.5294469252358687,0.5510783627365682,,,,0.20728070651827993,0.02805765537015995,0.02827784747306522,0.1481630115302705,0.03769523968369796,0.04005216144555351,,,
